	labels	classification	Americas	Europe	Africa	Asia	Latin America and the Caribbean	Northern America	Eastern Europe	Western Europe	Southern Europe	Sub-Saharan Africa	Northern Africa	Eastern Asia	Western Asia	Southern Asia	South-eastern Asia	Barbados	Cuba	Dominica	Dominican republic	Jamaica	Mexico	United states	Bulgaria	Czech republic	Hungary	Poland	Russian federation	France	Greece	Italy	Malta	Portugal	Spain	Cape verde	Kenya	South africa	Tanzania	Egypt	Morocco	Tunisia	China	Cyprus	Saudi arabia	Turkey	United Arab Emirates	India	Pakistan	Sri lanka	Indonesia	Malaysia	Singapore	Thailand	Vietnam
SRR7777155	Singapore	Singapore	0.02	0.06738095238095237	0.030523809523809523	0.8820952380952382								0.0	0.057666666666666665	0.03	0.9123333333333333																																		0.17916666666666664	0.145	0.53	0.14583333333333334	0.0
SRR7777165	Singapore	Malaysia	0.0	0.0	0.0	1.0								0.0	0.002	0.0	0.998																																		0.0775	0.7725	0.15	0.0	0.0
